HUMAN	MOUSE
CDIPT	Cdipt
CDK10	Cdk10
CDK11B	Cdk11b
CDK12	Cdk12
CDK13	Cdk13
CDK14	Cdk14
CDK15	Cdk15
CDK16	Cdk16
CDK17	Cdk17
CDK18	Cdk18
CDK19	Cdk19
CDK1	Cdk1
CDK20	Cdk20
CDK2AP1	Cdk2ap1
CDK2AP2	Cdk2ap2
CDK2	Cdk2
CDK3	Cdk3
CDK4	Cdk4
CDK5	Cdk5
CDK5R1	Cdk5r1
CDK5R2	Cdk5r2
CDK5RAP1	Cdk5rap1
CDK5RAP2	Cdk5rap2
CDK5RAP3	Cdk5rap3
CDK6	Cdk6
CDK7	Cdk7
CDK8	Cdk8
CDK9	Cdk9
CDKAL1	Cdkal1
CDKL1	Cdkl1
CDKL2	Cdkl2
CDKL3	Cdkl3
CDKL4	Cdkl4
CDKL5	Cdkl5
CDKN1A	Cdkn1a
CDKN1B	Cdkn1b
CDKN1C	Cdkn1c
CDKN2A	Cdkn2a
CDKN2AIP	Cdkn2aip
CDKN2AIPNL	Cdkn2aipnl
CDKN2B	Cdkn2b
CDKN2C	Cdkn2c
CDKN2D	Cdkn2d
CDKN3	Cdkn3
CDNF	Cdnf
CDO1	Cdo1
CDON	Cdon
CDPF1	2210021J22Rik
CDR1	Cdr1
CDR2	Cdr2
CDR2L	Cdr2l
CDR3	Cdr3
CDRT4	Cdrt4
CDS1	Cds1
CDS2	Cds2
CDSN	Cdsn
CDT1	Cdt1
CDV3	Cdv3
CDX1	Cdx1
CDX2	Cdx2
CDX4	Cdx4
CDYL2	Cdyl2
CDYL	Cdyl
CEACAM16	Ceacam16
CEACAM18	Ceacam18
CEACAM19	Ceacam19
CEACAM1	Ceacam1
CEACAM20	Ceacam20
CEACAM3	Ceacam3
CEACAM4	ENSMUST00000066413
CEACAM7	Ceacam14
CEBPA	Cebpa
CEBPB	Cebpb
CEBPD	Cebpd
CEBPE	Cebpe
CEBPG	Cebpg
CEBPZ	Cebpz
CECR2	Cecr2
CECR5	Cecr5
CECR6	Cecr6
CEECAM1	Ceecam1
CELA1	Cela1
CELA2A	Cela2a
CELA3A	Gm13011
CELA3B	Cela3b
CEL	Cel
CELF1	Celf1
CELF2	Celf2
CELF3	Celf3
CELF4	Celf4
CELF5	Celf5
CELF6	Celf6
CELSR1	Celsr1
CELSR2	Celsr2
CELSR3	Celsr3
CEND1	Cend1
CENPA	Cenpa
CENPB	Cenpb
CENPC1	Cenpc1
CENPE	Cenpe
CENPF	Cenpf
CENPH	Cenph
CENPI	Cenpi
CENPJ	Cenpj
CENPK	Cenpk
CENPL	Cenpl
CENPM	Cenpm
CENPN	2610510J17Rik
CENPO	Cenpo
CENPP	Cenpp
CENPQ	Cenpq
CENPT	Cenpt
CENPV	Cenpv
CENPW	Cenpw
CENTA1	Centa1
CENTA2	Centa2
CENTB1	Centb1
CENTB2	Centb2
CENTB5	Centb5
CENTD1	Centd1
CENTD3	Centd3
CENTG1	Centg1
CENTG2	Centg2
CENTG3	Centg3
CEP104	BC046331
CEP110	Cep110
CEP112	Ccdc46
CEP120	Cep120
CEP128	4930534B04Rik
CEP135	Cep135
CEP152	Cep152
CEP164	Cep164
CEP170	Cep170
CEP19	1500031L02Rik
CEP192	Cep192
CEP250	Cep250
CEP27	Cep27
CEP290	Cep290
CEP350	Cep350
CEP41	Tsga14
CEP44	BC088983
CEP55	Cep55
CEP57	Cep57
CEP57L1	Cep57l1
CEP63	Cep63
CEP68	Cep68
CEP70	Cep70
CEP72	4933440J22Rik
CEP76	Cep76
CEP78	Cep78
CEP85	Ccdc21
CEP85L	Gm9766
CEP89	Ccdc123
CEP95	Ccdc45
CEP97	Cep97
CEPT1	Cept1
CER1	Cer1
CERCAM	Cercam
CERK	Cerk
CERKL	Cerkl
CERS1	Lass1
CERS2	Lass2
CERS3	Lass3
CERS4	Lass4
CERS5	Lass5
CERS6	Lass6
CES1	Ces1g
CES2	Ces2h
CES3	Ces1d
CES4A	Ces4a
CES5A	Ces5a
CES7	Ces7
CETN1	Cetn1
CETN2	Cetn2
CETN3	Cetn3
CETN4P	Cetn4
CFB	Cfb
CFC1	Cfc1
CFD	Cfd
CFDP1	Cfdp1
CFH	Cfh
CFHR1	Cfhr1
CFI	Cfi
CFL1	Cfl1
CFL2	Cfl2
CFLAR	Cflar
CFM1	Cfm1
CFP	Cfp
CFTR	Cftr
CGA	Cga
CGGBP1	Cggbp1
CGN	Cgn
CGNL1	Cgnl1
CGREF1	Cgref1
CGRRF1	Cgrrf1
CH25H	Ch25h
CHAC1	Chac1
CHAC2	2510006C20Rik
CHAD	Chad
CHADL	Chadl
CHAF1A	Chaf1a
CHAF1B	Chaf1b
CHAMP1	Zfp828
CHAT	Chat
CHCHD10	Chchd10
CHCHD1	Chchd1
CHCHD2	Chchd2
CHCHD3	Chchd3
CHCHD4	Chchd4
CHCHD5	Chchd5
CHCHD6	Chchd6
CHCHD7	Chchd7
CHCHD8	Chchd8
CHD1	Chd1
CHD1L	Chd1l
CHD2	Chd2
CHD3	Chd3
CHD4	Chd4
CHD5	Chd5
CHD6	Chd6
CHD7	Chd7
CHD8	Chd8
CHD9	Chd9
CHDH	Chdh
CHEK1	Chek1
CHEK2	Chek2
CHERP	Cherp
CHES1	Ches1
CHFR	Chfr
CHGA	Chga
CHGB	Chgb
CHI3L1	Chi3l1
CHIA	Chia
CHIC1	Chic1
CHIC2	Chic2
CHID1	3110023E09Rik
CHIT1	Chit1
CHKA	Chka
CHKB	Chkb
CHKB-CPT1B	BC090627
CHL1	Chl1
CHM	Chm
CHML	Chml
CHMP1A	Chmp1a
CHMP1B	Chmp1b
CHMP2A	Chmp2a
CHMP2B	Chmp2b
CHMP3	Chmp3
CHMP4B	Chmp4b
CHMP4C	2310010I16Rik
CHMP5	Chmp5
CHMP6	Chmp6
CHMP7	Chmp7
CHN1	Chn1
CHN2	Chn2
CHODL	Chodl
CHORDC1	Chordc1
CHP1	1500003O03Rik
CHP2	2010110P09Rik
CHPF2	Chpf2
CHPF	Chpf
CHPT1	Chpt1
CHRAC1	Chrac1
CHRD	Chrd
CHRDL1	Chrdl1
CHRDL2	Chrdl2
CHRM1	Chrm1
CHRM2	Chrm2
CHRM3	Chrm3
CHRM4	Chrm4
CHRM5	Chrm5
CHRNA10	Chrna10
CHRNA1	Chrna1
CHRNA2	Chrna2
CHRNA3	Chrna3
CHRNA4	Chrna4
CHRNA5	Chrna5
CHRNA6	Chrna6
CHRNA7	Chrna7
CHRNA9	Chrna9
CHRNB1	Chrnb1
CHRNB2	Chrnb2
CHRNB3	Chrnb3
CHRNB4	Chrnb4
CHRND	Chrnd
CHRNE	Chrne
CHRNG	Chrng
CHST10	Chst10
CHST11	Chst11
CHST12	Chst12
CHST13	1110067M19Rik
CHST14	Chst14
CHST15	Chst15
CHST1	Chst1
CHST2	Chst2
CHST3	Chst3
CHST4	Chst4
CHST5	Chst5
CHST7	Chst7
CHST8	Chst8
CHST9	Chst9
CHSY1	Chsy1
CHSY3	Chsy3
CHTF18	Chtf18
CHTF8	Chtf8
CHTOP	2500003M10Rik
CHUK	Chuk
CHURC1	Churc1
CHX10	Chx10
CIAO1	Ciao1
CIAPIN1	Ciapin1
CIAS1	Cias1
CIB1	Cib1
CIB2	Cib2
CIB3	Cib3
CIB4	Cib4
CIC	Cic
CIDEA	Cidea
CIDEB	Cideb
CIDEC	Cidec
CIITA	C2ta
CILP2	Cilp2
CILP	Cilp
CINP	Cinp
CIR1	Cir1
CIRBP	Cirbp
CIRH1A	Cirh1a
CISD1	Cisd1
CISD2	Cisd2
CISD3	Cisd3
CISH	Cish
CIT	Cit
CITED1	Cited1
CITED2	Cited2
CITED4	Cited4
CIZ1	Ciz1
CKAP1	Ckap1
CKAP2	AA501227
CKAP2L	Ckap2l
CKAP4	Ckap4
CKAP5	Ckap5
CKB	Ckb
CKLF	Cklf
CKM	Ckm
CKMT1B	Ckmt1
CKMT2	Ckmt2
CKS1B	Cks1b
CKS1BP6	Gm6531
CKS2	Cks2
CLASP1	Clasp1
CLASP2	Clasp2
CLASRP	Clasrp
CLCA1	Clca1
CLCA2	Clca5
CLCA3	Clca4
CLCA4	AI747448
CLCC1	Clcc1
CLC	Clc
CLCF1	Clcf1
CLCN1	Clcn1
CLCN2	Clcn2
CLCN3	Clcn3
CLCN4	Clcn4-2
CLCN5	Clcn5
CLCN6	Clcn6
CLCN7	Clcn7
CLCNKA	Clcnka
CLCNKB	Clcnkb
CLDN10	Cldn10
CLDN11	Cldn11
CLDN12	Cldn12
CLDN14	Cldn14
CLDN15	Cldn15
CLDN16	Cldn16
CLDN17	Cldn17
CLDN18	Cldn18
CLDN19	Cldn19
CLDN1	Cldn1
CLDN20	Cldn20
CLDN22	Cldn22
CLDN23	Cldn23
CLDN24	Cldn24
CLDN2	Cldn2
CLDN3	Cldn3
CLDN4	Cldn4
CLDN5	Cldn5
CLDN6	Cldn6
CLDN7	Cldn7
CLDN8	Cldn8
CLDN9	Cldn9
CLDND1	Cldn25
CLDND2	Cldnd2
CLEC10A	Mgl2
CLEC11A	Clec11a
CLEC12A	Clec12a
CLEC12B	Clec12b
CLEC14A	Clec14a
CLEC16A	Clec16a
CLEC18A	Clec18a
CLEC1A	Clec1a
CLEC1B	Clec1b
CLEC2D	Clec2i
CLEC2L	Clec2l
CLEC3A	Clec3a
CLEC3B	Clec3b
CLEC4A	Clec4a2
CLEC4C	Clec4a1
CLEC4D	Clec4d
CLEC4E	Clec4e
CLEC4F	Clec4f
CLEC4G	Clec4g
CLEC5A	Clec5a
CLEC6A	Clec4n
CLEC7A	Clec7a
CLEC9A	Clec9a
CLGN	Clgn
CLIC1	Clic1
CLIC3	Clic3
CLIC4	Clic4
CLIC5	Clic5
CLIC6	Clic6
CLINT1	Clint1
CLIP1	Clip1
CLIP2	Clip2
CLIP3	Clip3
CLIP4	Clip4
CLK1	Clk1
CLK2	Clk2
CLK3	Clk3
CLK4	Clk4
CLMN	Clmn
CLMP	9030425E11Rik
CLN3	Cln3
CLN5	Cln5
CLN6	Cln6
CLN8	Cln8
CLNK	Clnk
CLNS1A	Clns1a
CLOCK	Clock
CLP1	Clp1
CLPB	Clpb
CLPP	Clpp
CLPS	Clps
CLPSL2	Gm749
CLPTM1	Clptm1
CLPTM1L	Clptm1l
CLPX	Clpx
CLRN1	Clrn1
CLRN2	Clrn2
CLRN3	Clrn3
CLSPN	Clspn
CLSTN1	Clstn1
CLSTN2	Clstn2
CLSTN3	Clstn3
CLTA	Clta
CLTB	Cltb
CLTC	Cltc
CLUAP1	Cluap1
CLU	Clu
CLUL1	MMT00070731
CLVS1	Clvs1
CLVS2	Clvs2
CLYBL	Clybl
CMA1	Cma1
CMAH	Cmah
CMAS	Cmas
CMBL	Cmbl
CMC1	Cmc1
CMC2	2310061C15Rik
CMIP	Cmip
CMKLR1	Cmklr1
CMPK1	Cmpk1
CMPK2	Cmpk2
CMPK	Cmpk
CMTM1	Cmtm1
CMTM2	Cmtm2a
CMTM3	Cmtm3
CMTM4	Cmtm4
CMTM5	Cmtm5
CMTM6	Cmtm6
CMTM7	Cmtm7
CMTM8	Cmtm8
CMYA1	Cmya1
CMYA3	Cmya3
CMYA5	Cmya5
CNBD1	MMT00025179
CNBP	Cnbp
CNDP1	Cndp1
CNDP2	Cndp2
CNEP1R1	Tmem188
CNFN	Cnfn
CNGA1	Cnga1
CNGA2	Cnga2
CNGA3	Cnga3
CNGA4	Cnga4
CNGB1	Cngb1
CNGB3	Cngb3
CNIH2	Cnih2
CNIH3	Cnih3
CNIH4	Cnih4
CNIH	Cnih
CNKSR1	Cnksr1
CNKSR2	Cnksr2
CNKSR3	Cnksr3
CNN1	Cnn1
CNN2	Cnn2
CNN3	Cnn3
CNNM1	Cnnm1
CNNM2	Cnnm2
CNNM3	Cnnm3
CNNM4	Cnnm4
CNO	Cno
CNOT10	Cnot10
CNOT1	Cnot1
CNOT2	Cnot2
CNOT3	Cnot3
CNOT4	Cnot4
CNOT6	Cnot6
CNOT6L	Cnot6l
CNOT7	Cnot7
CNOT8	Cnot8
CNP	Cnp
CNPPD1	1810031K17Rik
CNPY1	Cnpy1
CNPY2	Cnpy2
CNPY3	Cnpy3
CNPY4	Cnpy4
CNR1	Cnr1
CNR2	Cnr2
CNRIP1	Cnrip1
CNST	Cnst
CNTD1	Cntd1
CNTF	Cntf
CNTFR	Cntfr
CNTLN	Cntln
CNTN1	Cntn1
CNTN2	Cntn2
CNTN3	Cntn3
CNTN4	Cntn4
CNTN5	Cntn5
CNTN6	Cntn6
CNTNAP1	Cntnap1
CNTNAP2	Cntnap2
CNTNAP3	Cntnap3
CNTNAP4	Cntnap4
CNTNAP5	Cntnap5a
CNTRL	Cep110
CNTROB	Cntrob
COA5	6330578E17Rik
COASY	Coasy
COBL	Cobl
COBLL1	Cobll1
COBRA1	Cobra1
COCH	Coch
COG1	Cog1
COG2	Cog2
COG3	Cog3
COG4	Cog4
COG5	Cog5
COG6	Cog6
COG7	Cog7
COG8	Cog8
COIL	Coil
COL10A1	Col10a1
COL11A1	Col11a1
COL11A2	Col11a2
COL12A1	Col12a1
COL13A1	Col13a1
COL14A1	Col14a1
COL15A1	Col15a1
COL16A1	Col16a1
COL17A1	Col17a1
COL18A1	Col18a1
COL19A1	Col19a1
COL1A1	Col1a1
COL1A2	Col1a2
COL20A1	Col20a1
COL22A1	Col22a1
COL23A1	Col23a1
COL24A1	Col24a1
COL25A1	Col25a1
COL27A1	Col27a1
COL28A1	Col28a1
COL2A1	Col2a1
COL3A1	Col3a1
COL4A1	Col4a1
COL4A2	Col4a2
COL4A3BP	Col4a3bp
COL4A3	Col4a3
COL4A4	Col4a4
COL4A5	Col4a5
COL4A6	Col4a6
COL5A1	Col5a1
COL5A2	Col5a2
COL5A3	Col5a3
COL6A1	Col6a1
COL6A2	Col6a2
COL6A3	Col6a3
COL6A4P1	Col6a4
COL6A5	Col6a5
COL6A6	Col6a6
COL7A1	Col7a1
COL8A1	Col8a1
COL8A2	Col8a2
COL9A1	Col9a1
COL9A2	Col9a2
COL9A3	Col9a3
COLEC10	Colec10
COLEC11	Colec11
COLEC12	Colec12
COLQ	Colq
COMMD10	Commd10
COMMD1	Commd1
COMMD2	Commd2
COMMD3	Commd3
COMMD4	Commd4
COMMD5	Commd5
COMMD6	Commd6
COMMD7	Commd7
COMMD8	Commd8
COMMD9	Commd9
COMP	Comp
COMT	Comt
COMTD1	Comtd1
Contig1111_RC	1700025K23Rik
Contig1152_RC	AK040871
Contig12742_RC	4930452B06Rik
Contig12820_RC	AK220210
Contig1320_RC	1110005A03Rik
Contig13488_RC	4921511I16Rik
Contig14015_RC	9630037P07Rik
Contig14060_RC	EG545802
Contig14796_RC	NM_177774
Contig16161_RC	4930578N16Rik
Contig17333_RC	2900078E11Rik
Contig20846_RC	C80638
Contig21192	AI663975
Contig21835_RC	2310002J21Rik
Contig21988_RC	AU020772
Contig22175_RC	Atp5o
Contig23074_RC	MMT00021760
Contig23085_RC	MMT00016295
Contig23421_RC	2610100L16Rik
Contig23475_RC	A930021H16Rik
Contig24252_RC	2210020M01Rik
Contig24376_RC	6430514M23Rik
Contig24594_RC	A730046J19Rik
Contig25809_RC	6330403M23Rik
Contig26141_RC	AI841971
Contig26622_RC	AY096003
Contig26837_RC	2610203C20Rik
Contig27082_RC	E130009J12Rik
Contig27591_RC	XM_205232
Contig27616_RC	A830093I24Rik
Contig27925_RC	mCT51706
Contig28226_RC	1200009F10Rik
Contig28319_RC	1700129I04Rik
Contig28418_RC	EG623131
Contig28483_RC	4933407P14Rik
Contig2883_RC	2210013O21Rik
Contig30023_RC	BC042782
Contig30593_RC	5730480H06Rik
Contig31122_RC	AI465301
Contig31337_RC	AI507611
Contig31398_RC	A330021E22Rik
Contig31613_RC	1700029I15Rik
Contig31661_RC	0610010E21Rik
Contig31699_RC	4930424G05Rik
Contig31771_RC	AI595406
Contig31979_RC	MMT00074673
Contig32123_RC	D11Bwg0517e
Contig32183_RC	2810457I06Rik
Contig3228_RC	5630401D06Rik
Contig32322_RC	Dep1
Contig32348	A230079K17Rik
Contig32439_RC	D830044I16Rik
Contig32577_RC	D030020J04Rik
Contig32706_RC	MMT00072326
Contig32951_RC	MMT00057885
Contig33240_RC	BC049635
Contig33703_RC	A430107D22Rik
Contig33811_RC	BC030870
Contig33975_RC	9330180L21Rik
Contig34129_RC	A930001N09Rik
Contig3464_RC	MMT00067831
Contig34719_RC	BC048599
Contig34986_RC	9630031F12Rik
Contig35053_RC	Surf5
Contig35897_RC	4933429F08Rik
Contig36101_RC	1700007E06Rik
Contig36590_RC	4930549C01Rik
Contig36739_RC	MMT00043485
Contig36836_RC	A930001N09Rik
Contig37117	4921506J03Rik
Contig37371_RC	C130065N10Rik
Contig37397_RC	MMT00014865
Contig37538_RC	3732412D22Rik
Contig37858_RC	G430022H21Rik
Contig37991_RC	C80638
Contig38029_RC	4930544O15Rik
Contig3834_RC	2610001J05Rik
Contig38476_RC	2610100L16Rik
Contig38493_RC	3526401B18Rik
Contig38557_RC	A730055C05Rik
Contig38580_RC	B930095G15Rik
Contig38613_RC	D4Ertd429e
Contig38736_RC	1700106J16Rik
Contig38965_RC	6330531I01Rik
Contig39100_RC	MMT00076032
Contig39193_RC	MMS010141179
Contig39591_RC	4921517N04Rik
Contig398_RC	C79267
Contig40221_RC	Gm1450
Contig40600_RC	D930049A15Rik
Contig40673_RC	AU042651
Contig40929_RC	B130024G19Rik
Contig40964_RC	MMT00049375
Contig41210_RC	AB041803
Contig41360_RC	mCT52294
Contig41498_RC	B230337E12Rik
Contig41762	2310007A19Rik
Contig41818_RC	D830015G05Rik
Contig41905_RC	BC062109
Contig41954_RC	6330411E07Rik
Contig42012_RC	D130004H04Rik
Contig42270_RC	2900024O10Rik
Contig42297_RC	AW742931
Contig42366_RC	MMT00037357
Contig42430_RC	2900009J20Rik
Contig42559_RC	AW125296
Contig43034_RC	C130071C03Rik
Contig43096_RC	1700023L04Rik
Contig43410_RC	MMT00001950
Contig43416_RC	mCT165025
Contig43540_RC	BC028663
Contig43542_RC	A630082K20Rik
Contig43586_RC	4930461P20Rik
Contig43645_RC	Tyki
Contig43807_RC	H47
Contig43833_RC	BC049816
Contig44415	4930546H06Rik
Contig44652_RC	AK036014
Contig44729_RC	1100001G20Rik
Contig44758_RC	4833420G17Rik
Contig45119_RC	1700016G05Rik
Contig45266	MMT00062379
Contig45328_RC	Gm614
Contig45443_RC	D630014A15Rik
Contig45455_RC	D5Ertd135e
Contig45505_RC	2300002D11Rik
Contig45532_RC	AK046858
Contig45914_RC	D9Ertd167e
Contig45970_RC	MMS010209881
Contig46086_RC	2310032F03Rik
Contig46232	9530033F24Rik
Contig46631_RC	A230078I05Rik
Contig46677_RC	C130071C03Rik
Contig46942_RC	4930544G21Rik
Contig47065_RC	AV340377
Contig47102_RC	D8Ertd82e
Contig47129	D230004J03Rik
Contig47225_RC	1110028A07Rik
Contig47326	Gm1661
Contig47381_RC	MMT00078406
Contig47453_RC	AI173486
Contig475_RC	MMT00063480
Contig47865	2310016C16Rik
Contig47895_RC	A530098C11Rik
Contig48014_RC	E130112L23Rik
Contig48270_RC	AI846148
Contig48402_RC	Deb1
Contig48473_RC	MMT00022054
Contig48481	AI448196
Contig48712_RC	Acsm2
Contig48799_RC	AI585793
Contig48806_RC	E130012A19Rik
Contig48834_RC	B230112C05Rik
Contig48950_RC	C330018D20Rik
Contig49076_RC	1810021J13Rik
Contig49175_RC	6620401M08Rik
Contig49606_RC	4930505A04Rik
Contig50241_RC	AB112350
Contig50355_RC	4921505C17Rik
Contig50403_RC	AK052334
Contig50410	2310051F07Rik
Contig50483	A630082K20Rik
Contig50605_RC	MMT00062579
Contig50655_RC	C730029A08Rik
Contig50831_RC	MMT00004229
Contig50850_RC	2410004L22Rik
Contig50938_RC	D4Ertd429e
Contig51037_RC	BC024561
Contig51328_RC	3110073H01Rik
Contig51373_RC	D15Wsu169e
Contig51687_RC	Krtdap
Contig51943_RC	C230094A16Rik
Contig52214_RC	3110045G13Rik
Contig52681_RC	3110006E14Rik
Contig53080_RC	1110062M06Rik
Contig5311_RC	mCT1886
Contig53242_RC	2010109K11Rik
Contig53406_RC	BC003965
Contig53615_RC	1700012G19Rik
Contig53703_RC	5830454D03Rik
Contig53838_RC	2610203C20Rik
Contig54012_RC	4921524J17Rik
Contig54076_RC	1700019D03Rik
Contig55242_RC	AI606181
Contig55334_RC	D130054N24Rik
Contig55497_RC	9030425E11Rik
Contig55583_RC	2010003K15Rik
Contig55766_RC	EG547309
Contig56023_RC	3110045C21Rik
Contig56288_RC	C030004M05Rik
Contig56513_RC	1110018M03Rik
Contig56848_RC	2810008M24Rik
Contig57080_RC	A430093A21Rik
Contig57226_RC	Nrarp
Contig57230_RC	1110018F16Rik
Contig57290_RC	Nedd10
Contig57330_RC	C230081A13Rik
Contig57419_RC	1810049H13Rik
Contig57896_RC	9630054F20Rik
Contig58042_RC	6330509M05Rik
Contig58121_RC	0610030E20Rik
Contig58279_RC	5430417L22Rik
Contig58333	Tra2a
Contig63625_RC	4631424J17Rik
Contig63748_RC	EG432995
Contig65156_RC	2510048L02Rik
Contig65401_RC	4933405A16Rik
Contig66072	1810013D10Rik
Contig667_RC	4833421E05Rik
Contig66868_RC	1110065P20Rik
Contig706_RC	Ptpn14
Contig9030_RC	2310020A21Rik
Contig9229	BB169187
COPA	Copa
COPB1	Copb1
COPB2	Copb2
COPE	Cope
COPG1	Copg
COPG2	Copg2
COPG	Copg
COPS2	Cops2
COPS3	Cops3
COPS4	Cops4
COPS5	Cops5
COPS6	Cops6
COPS7A	Cops7a
COPS7B	Cops7b
COPS8	Cops8
COPZ1	Copz1
COPZ2	Copz2
COQ10A	Coq10a
COQ10B	Coq10b
COQ2	Coq2
COQ3	Coq3
COQ4	Coq4
COQ5	Coq5
COQ6	Coq6
COQ7	Coq7
COQ9	Coq9
CORIN	Corin
CORO1A	Coro1a
CORO1B	Coro1b
CORO1C	Coro1c
CORO2A	Coro2a
CORO2B	Coro2b
CORO6	Coro6
CORO7	Coro7
CORT	Cort
COTL1	Cotl1
COVA1	Cova1
COX10	Cox10
COX11	Cox11
COX14	2310016M24Rik
COX15	Cox15
COX16	Cox16
COX17	Cox17
COX18	Cox18
COX19	2810437L13Rik
COX1	mt-Co1
COX20	Fam36a
COX2	mt-Co2
COX3	mt-Co3
COX4I1	Cox4i1
COX4I2	Cox4i2
COX4NB	Cox4nb
COX5A	Cox5a
COX5B	Cox5b
COX6A1	Cox6a1
COX6A2	Cox6a2
COX6B1	Cox6b1
COX6B2	Cox6b2
COX6C	AW476018
COX7A1	Cox7a1
COX7A2	Cox7a2
COX7A2L	Cox7a2l
COX7B2	Cox7b2
COX7B	Cox7b
COX7C	Cox7c
COX8A	Cox8a
COX8BP	Cox8b
COX8C	Cox8c
CPA1	Cpa1
CPA2	Cpa2
CPA3	Cpa3
CPA4	Cpa4
CPA5	Cpa5
CPA6	Cpa6
CPB1	Cpb1
CPB2	Cpb2
CP	Cp
CPD	Cpd
CPEB1	Cpeb1
CPEB2	Cpeb2
CPEB3	Cpeb3
CPEB4	Cpeb4
CPE	Cpe
CPED1	A430107O13Rik
CPLX1	Cplx1
CPLX2	Cplx2
CPLX3	Cplx3
CPLX4	Cplx4
CPM	Cpm
CPN1	Cpn1
CPN2	Cpn2
CPNE1	Cpne1
CPNE2	Cpne2
CPNE3	Cpne3
CPNE4	Cpne4
CPNE5	Cpne5
CPNE6	Cpne6
CPNE7	Cpne7
CPNE8	Cpne8
CPNE9	Cpne9
CPOX	Cpox
CPPED1	Cpped1
CPQ	Pgcp
CPS1	Cps1
CPSF1	Cpsf1
CPSF2	Cpsf2
CPSF3	Cpsf3
CPSF3L	Cpsf3l
CPSF4	Cpsf4
CPSF4L	Cpsf4l
CPSF6	Cpsf6
CPSF7	Cpsf7
CPT1A	Cpt1a
CPT1B	Cpt1b
CPT1C	Cpt1c
CPT2	Cpt2
CPVL	Cpvl
CPXCR1	Cpxcr1
CPXM1	Cpxm1
CPXM2	Cpxm2
CPZ	Cpz
CR1	Crry
CR2	Cr2
CR598768	2700089E24Rik
CR617694	Nt5c3
CR749513	Thbd
CR749709	Diras1
CRABP1	Crabp1
CRABP2	Crabp2
CRADD	Cradd
CRAMP1L	Cramp1l
CRAT	Crat
CRB1	Crb1
CRB2	Crb2
CRB3	Crb3
CRBN	Crbn
CRCP	Crcp
CRCT1	Crct1
CREB1	Creb1
CREB3	Creb3
CREB3L1	Creb3l1
CREB3L2	Creb3l2
CREB3L3	Creb3l3
CREB3L4	Creb3l4
CREB5	Creb5
CREBBP	Crebbp
CREBL1	Crebl1
CREBL2	Crebl2
CREBRF	A930001N09Rik
CREBZF	Crebzf
CREG1	Creg1
CREG2	Creg2
CRELD1	Creld1
CRELD2	Creld2
CREM	Crem
CRHBP	Crhbp
CRH	Crh
CRHR1	Crhr1
CRHR2	Crhr2
CRIM1	Crim1
CRIP1	Crip1
CRIP2	Crip2
CRIP3	Crip3
CRIPT	Cript
CRISP1	Crisp4
CRISP2	Crisp2
CRISP3	Crisp1
CRISPLD1	Crispld1
CRISPLD2	Crispld2
CRK	Crk
CRKL	Crkl
CRKRS	Crkrs
CRLF1	Crlf1
CRLF2	Crlf2
CRLF3	Crlf3
CRLS1	Crls1
CRMP1	Crmp1
CRNKL1	Crnkl1
CRNN	Crnn
CROCC	Crocc
CROT	Crot
CRP	Crp
CRSP2	Crsp2
CRSP3	Crsp3
CRSP6	Crsp6
CRSP7	Crsp7
CRSP8	Crsp8
CRSP9	Crsp9
CRTAC1	Crtac1
CRTAM	Crtam
CRTAP	Crtap
CRTC1	Crtc1
CRTC2	Crtc2
CRTC3	Crtc3
CRX	Crx
CRY1	Cry1
CRY2	Cry2
CRYAA	Cryaa
CRYAB	Cryab
CRYBA1	Cryba1
CRYBA2	Cryba2
CRYBA4	Cryba4
CRYBB1	Crybb1
CRYBB2	Crybb2
CRYBB3	Crybb3
CRYBG3	Crybg3
CRYGA	Cryga
CRYGB	Crygb
CRYGC	Crygc
CRYGD	Crygd
CRYGN	Crygn
CRYGS	Crygs
CRYL1	Cryl1
CRYM-AS1	Abca15
CRYM	Crym
CRYZ	Cryz
CRYZL1	Cryzl1
CSAD	Csad
CS	Cs
CSDA	Csda
CSDC2	Csdc2
CSDE1	Csde1
CSE1L	Cse1l
CSF1	Csf1
CSF1R	Csf1r
CSF2	Csf2
CSF2RA	Csf2ra
CSF2RB	Csf2rb
CSF3	Csf3
CSF3R	Csf3r
CSGALNACT1	Csgalnact1
CSGALNACT2	Csgalnact2
CSK	Csk
CSMD1	Csmd1
CSMD2	Csmd2
CSMD3	Csmd3
CSN1S1	Csn1s1
CSN1S2A	Csn1s2a
CSN1S2BP	Csn1s2b
CSN2	Csn2
CSN3	Csn3
CSNK1A1	Csnk1a1
CSNK1D	Csnk1d
CSNK1E	Csnk1e
CSNK1G1	Csnk1g1
CSNK1G2	Csnk1g2
CSNK1G3	Csnk1g3
CSNK2A1	Csnk2a1
CSNK2A2	Csnk2a2
CSNK2B	Csnk2b
CSPG2	Cspg2
CSPG3	Cspg3
CSPG4	Cspg4
CSPG5	Cspg5
CSPP1	Cspp1
CSRNP1	Csrnp1
CSRNP2	Csrnp2
CSRNP3	Csrnp3
CSRP1	Csrp1
CSRP2BP	Csrp2bp
CSRP2	Csrp2
CSRP3	Csrp3
CST11	Cst11
CST3	Cst3
CST5	Cst10
CST6	Cst6
CST7	Cst7
CST8	Cst8
CST9L	Cst9
CSTA	EG433016
CSTB	Cstb
CSTF1	Cstf1
CSTF2	Cstf2
CSTF2T	Cstf2t
CSTF3	Cstf3
CSTL1	Cstl1
